# locale=zh	language=Simplified Chinese	source=D:\soft\Steam\steamapps\common\Crimson Desert\Save Editor\locale\names_zh.json
# item_key	category	current_language_name	english_name	internal_name	slotType	inventoryCategory
9401	Helmet	炽热苍穹布制头盔	Skyblazer Cloth Helm	Scalaphynion_Fabric_Helm	4	1
9402	Helmet	哈尔修斯祭司帽	St. Halssius Priest's Hat	Volcker_Fabric_Helm	4	1
9501	OneHandWeapon	马罗尼战车手炮	Marni Tank Blaster	Legendary_MarniTank_OneHandCannon	37	1
9502	OneHandWeapon	机械发条手持火炮	Mechanical Clockwork Blaster	Legendary_MarniDragon_OneHandCannon	37	1
9507	OneHandWeapon	手炮8号	Blaster No. 8	Legendary_Marni_OneHandCannon	37	1
9508	OneHandWeapon	飞龙手炮	Wyvern Blaster	DragonSlayerLeader_OneHandCannon	37	1
10026	Tool	提灯	Lantern	Lantern	55	1
10033	Food	蜂蜜	Honey	Honey	65535	2
10043	Tool	闪闪发光的蔚蓝大海提灯	Shiny Blue Sea Lantern	Light_Of_Giant_Lantern	55	1
10044	Tool	苏拉伍德提灯	Shroud Lantern	Gold_Plating_Lantern	55	1
10045	Tool	华丽烟花图案提灯	Fancy Flame-Patterned Lantern	DeerKing_Lantern	55	1
10046	Tool	黑雾提灯	Dark Fog Lantern	RedNose_Lantern	55	1
10047	Tool	烟花提灯	Flame Lantern	Mjordin_Lantern	55	1
11001	Tool	鱼竿	Fishing Rod	FishingRod	99	1
12204	ChestArmor	梅多克斯皮制盔甲	Maydocs Leather Armor	Maydocs_Leather_Armor_I	5	1
12205	ChestArmor	比尔达因皮制盔甲	Vildyne Leather Armor	Bildain_Leather_Armor_I	5	1
12206	ChestArmor	阿多拉特皮制盔甲	Adoratt Leather Armor	Ardoratte_Leather_Armor_I	5	1
12207	ChestArmor	科尔比尔皮制盔甲	Colbill Leather Armor	Colbill_Leather_Armor_I	5	1
12208	ChestArmor	科比皮制盔甲	Coby Leather Armor	Coby_Leather_Armor_I	5	1
12209	ChestArmor	谢尔本皮制盔甲	Sherborn Leather Armor	Sherborn_Leather_Armor_I	5	1
12217	ChestArmor	饥饿獠牙皮制盔甲	Hungering Fang Leather Armor	Ludvic_Leather_Armor	5	1
12218	ChestArmor	黑布林皮制盔甲	Helfryn Leather Armor	Hailbrin_Leather_Armor	5	1
12219	ChestArmor	黄鼠狼皮制盔甲	Weasel Leather Armor	Weasel_Leather_Armor	5	1
12303	Boots	沾满泥土的萨兰托斯皮制鞋子	Dirty Sarantos Leather Boots	Sarantos_Leather_Boots_I	7	1
12304	Boots	大型雷吉斯皮制鞋子	Large Rhegis Leather Boots	ReiGhis_Leather_Boots_I	7	1
12306	Boots	饥饿獠牙皮制鞋子	Hungering Fang Leather Boots	Ludvic_Leather_Boots	7	1
12307	Boots	卡尔塔板金鞋子	Carta Plate Boots	Carta_Plated_Boots	7	1
12308	Boots	埃尔南德仪仗队鞋子	Hernandian Honor Guard Boots	Hernand_GuardCaptain_Leather_Boots	7	1
12309	Boots	黄鼠狼皮制鞋子	Weasel Leather Boots	Weasel_Leather_Boots	7	1
12310	Boots	斯科拉斯敦学者服鞋子	Scholastone Boots	Huroi_Leather_Boots	7	1
12311	Boots	埃尔南德宴会服皮制鞋子	Hernandian Banquet Leather Boots	Hernand_Party_Leather_Boots	7	1
12312	Boots	养蜂鞋	Beekeeping Boots	Optionary_Beekeeping_Leather_Boots	7	1
12403	Gloves	红色骑手皮制手套	Red Rider's Leather Gloves	Redleader_Leather_Gloves	6	1
12404	Gloves	大型帕维斯皮制手套	Large Pavis Leather Gloves	Tesslit_Leather_Gloves_I	6	1
12406	Gloves	黑翼皮制手套	Blackwing Leather Gloves	Douglas_Leather_Gloves	6	1
12407	Gloves	炽热苍穹的皮制手套	Skyblazer Leather Gloves	Scalaphynion_Leather_Gloves	6	1
12408	Gloves	饥饿獠牙皮制手套	Hungering Fang Leather Gloves	Ludvic_Leather_Gloves	6	1
12409	Gloves	埃尔南德仪仗队手套	Hernandian Honor Guard Gloves	Hernand_GuardCaptain_Leather_Gloves	6	1
12410	Gloves	黑布林皮制手套	Helfryn Leather Gloves	Hailbrin_Leather_Gloves	6	1
12411	Gloves	黄鼠狼皮制手套	Weasel Leather Gloves	Weasel_Leather_Gloves	6	1
12412	Gloves	卡尔塔皮制手套	Carta Leather Gloves	Carta_Leather_Gloves	6	1
12413	Gloves	养蜂手套	Beekeeping Gloves	Optionary_Beekeeping_Leather_Gloves	6	1
12414	Gloves	博尔因皮制手套	Bollin Leather Gloves	Volruin_Leather_Gloves	6	1
12506	Helmet	银牙头盔	Silver Fang Helm	Legendary_WhiteWolf_Leather_Helm	4	1
12600	OneHandWeapon	贪婪之双刃斧	Double-Headed Axe of Greed	Legendary_CaptainGoblin_OneHandAxe	16	1
12701	Bow	神音残响弓箭	Divine Echoes Bow	AbyssReward_HolyEcho_OneHandBow	3	1
12702	Bow	君子之弓	Noble Man's Bow	Legendary_Korea_OneHandBow	3	1
12900	OneHandWeapon	哥布林王的宝贵匕首	Goblin King's Treasure Dagger	Legendary_Shakatu_OneHandDagger	14	1
13200	OneHandWeapon	虚无者之锤	Mace of the Fleeting	Hexe_Soldier_OneHandMace	19	1
13201	OneHandWeapon	马罗尼信徒的单手钝器	Marni Devotee's Mace	Legendary_MarniRegion_OneHandMace	19	1
13202	OneHandWeapon	决意之锤	Mace of Resolve	Legendary_StephenBleed_OneHandMace	19	1
13301	OneHandWeapon	马罗尼火枪	Marni Musket	AbyssReward_MarniMusket	35	1
13304	OneHandWeapon	德梅尼斯英雄火枪	Demenissian Hero's Musket	Legendary_DemenisMusket_OneHandMusket	35	1
13500	OneHandWeapon	王之誓约	Royal Oath	Legendary_Caliburn_OneHandRapier	39	1
13600	Shield	虚无者之壳	Shell of the Fleeting	Hexe_Soldier_OneHandShield	1	1
13604	Shield	巴尔格兰盾牌	Balgran Shield	Legendary_SkullKnight_OneHandShield	1	1
13605	Shield	德雷西亚装饰盾	Delesyian Ornamental Shield	Legendary_MarniTank_OneHandShield	1	1
13800	TwoHandWeapon		Lance OneHandLance	Lance_OneHandLance	21	1
13809	OneHandWeapon	纳兹克单手剑	Nazk Sword	Legendary_DragonSlayer_OneHandSword	0	1
13810	OneHandWeapon	寒气缭绕的单手剑	Chillfallen Sword	Legendary_WhiteHorn_OneHandSword	0	1
13811	OneHandWeapon	埃塞里温单手剑	Aeserion Sword	Legendary_Dragon_OneHandSword	0	1
13812	OneHandWeapon	虚无者之刃	Sword of the Fleeting	Hexe_Soldier_OneHandSword	0	1
13901	Shield	铜狮骨盾牌	Frostbone Shield	Crafting_WhiteHorn_OneHandShield	1	1
14101	ChestArmor	被诅咒的灵魂板金盔甲	Plate Armor of Cursed Soul	Redknight_PlateArmor_Armor	5	1
14102	ChestArmor	红色骑手板金盔甲	Red Rider's Plate Armor	Redleader_PlateArmor_Armor	5	1
14103	ChestArmor	缪尔板金盔甲	Meyer Plate Armor	Mueo_PlateArmor_Armor_I	5	1
14104	ChestArmor	斯皮塔尔板金盔甲	Spiddle Plate Armor	Spital_PlateArmor_Armor_I	5	1
14109	ChestArmor	冰冷之心板金盔甲	Frozen Heart Plate Armor	Legendary_MarniGolem_Plate_Armor	5	1
14200	Boots	暗黑执行者板金鞋子	Executioner of Darkness Plate Boots	Demian_Plate_Boots_V	7	1
14201	Boots	被诅咒的灵魂板金鞋子	Plate Boots of Cursed Soul	Redknight_Plate_Boots	7	1
14202	Boots	霜降诅咒板金鞋子	Frostcursed Plate Boots	Skull_Knight_Plate_Boots	7	1
14300	Gloves	暗黑执行者板金手套	Executioner of Darkness Plate Gloves	Demian_PlateArmor_Gloves_V	6	1
14301	Gloves	被诅咒的灵魂板金手套	Plate Gloves of Cursed Soul	Redknight_PlateArmor_Gloves	6	1
14302	Gloves	绯红追击者锁链手套	Crimson Chaser Chain Gloves	Redsentinel_PlateArmor_Gloves	6	1
14304	Gloves	冰冷之心板金手套	Frozen Heart Plate Gloves	Legendary_Orc_Plate_Glove	6	1
14305	Gloves	黄铜守卫板金手套	Brass Warden's Plate Gloves	Oongka_Plate_Glove	6	1
14306	Gloves	佩伦手套	Pailunese Gloves	Lutis_PlateArmor_Gloves	6	1
14400	Helmet	信念流浪者板金头盔	Wanderer of Faith's Plate Helm	Demian_PlateArmor_Helm_V	4	1
14401	Helmet	被诅咒的灵魂板金头盔	Plate Helm of Cursed Soul	Redknight_PlateArmor_Helm	4	1
14402	Helmet	红色骑手板金头盔	Red Rider's Plate Helm	Redleader_PlateArmor_Helm	4	1
14403	Helmet	德梅尼斯警卫队板金头盔	Demenissian Guard's Plate Helm	Raphtha_PlateArmor_Helm_I	4	1
14404	Helmet	德梅尼斯警卫队板金头盔	Demenissian Guard's Plate Helm	Raphtha_PlateArmor_Helm_II	4	1
14405	Helmet	绯红追击者板金头盔	Crimson Chaser Plate Helm	Redsentinel_PlateArmor_Helm	4	1
14406	Helmet	迪斯卡奥板金头盔	Descao Plate Helm	Discao_PlateArmor_Helm_I	4	1
14407	Helmet	德梅尼斯警卫队板金头盔	Demenissian Guard's Plate Helm	Luconek_PlateArmor_Helm_I	4	1
14411	Helmet	头盔族甲虫头盔	Helms Beetle Helm	Desert_Harrier_PlateArmor_Helm_IV	4	1
14412	Helmet	头盔族马蜂头盔	Helms Hornet Helm	Desert_Harrier_PlateArmor_Helm_V	4	1
14413	Helmet	头盔族黄牛头盔	Helms Bull Helm	Desert_Harrier_PlateArmor_Helm_VI	4	1
14415	Helmet	黑翼板金面具	Blackwing Mask	CrowMan_PlateArmor_Helm	4	1
14416	Helmet	霜降诅咒板金头盔	Frostcursed Plate Helm	SkullKnight_PlateArmor_Helm	4	1
14417	Helmet	卡尔塔板金头盔	Carta Plate Helm	Carta_PlateArmor_Helm	4	1
14500	Helmet	狼王头盔	Alpha Wolf Helm	Wolf_Chief_Leather_Helm	4	1
14501	Helmet	熊王帽	Boss Bear Hat	Bear_Chief_Leather_Helm	4	1
14507	Helmet	黑熊防毒面具	Black Bear Gas Mask	Brimstone_Leather_Helm	4	1
14510	Helmet	比吉奥内	Visione	Marni_Devotee_PlateArmor_Helm	4	1
14511	Helmet	量产型比吉奥内	Bespoke Visione	Marni_Devotee_PlateArmor_Helm_I	4	1
14703	TwoHandWeapon	埃塞里温双手锤	Aeserion Greathammer	AbyssReward_Dragon_TwoHandGiantHammer	28	1
14705	TwoHandWeapon	黑暗引路人	Darkbringer	Legendary_Antumbra_TwoHandGiantBastard	17	1
14706	TwoHandWeapon	万象轮斧	Wheel of the Last Toll	Legendary_BridieGu_TwoHandGiantAxe	15	1
14900	Backpack	大学背囊	Student's Pack	University_BackPack	66	1
15000	TwoHandWeapon	埃塞里温战戟	Aeserion Halberd	Dragon_TwoHandAlebard	33	1
15100	TwoHandWeapon	大地切割者	Earthsplitter	Legendary_AncientGuardian_TwoHandAxe	15	1
15200	TwoHandWeapon	顶级伦纳德双手火炮	Finest Rhinard Cannon	Rhinard_TwoHandCannon_I	38	1
15202	TwoHandWeapon	天字铳筒双手火炮	Alpha Barrel Cannon	Cheonja_Chongtong_TwoHandCannon_I	38	1
15204	TwoHandWeapon	别胜字铳筒双手火炮	Gamma Barrel Cannon	ByeorSeungja_Chongtong_TwoHandCannon_I	38	1
15500	TwoHandWeapon	符文刻石	Rune-Engraved Rock	Legendary_CrimsonScorpion_TwoHandHammer	28	1
15700	TwoHandWeapon	埃塞里温长枪	Aeserion Spear	Legendary_Dragon_TwoHandGiantSpear	21	1
15701	TwoHandWeapon	天罚	Reckoning	AbyssReward_Titan_TwoHandSpear	21	1
15702	TwoHandWeapon	月镰	Grasping Moon	Legendary_Moonhead_TwoHandGiantSpear	21	1
15703	TwoHandWeapon	霜牙	Frostfang	Legendary_OwenCraber_TwoHandGiantSpear	21	1
15704	TwoHandWeapon	虚无者之枪	Spear of the Fleeting	Hexe_Warrior_TwoHandSpear	21	1
15706	TwoHandWeapon	月歧	Diverging Moon	Legendary_Moonhead_01_TwoHandGiantSpear	21	1
15707	TwoHandWeapon	月枷	Circling Moon	Legendary_Moonhead_02_TwoHandGiantSpear	21	1
15901	TwoHandWeapon	绝望双手剑	Frozen Anguish	AbyssReward_Skull_Knight_TwoHandSword	17	1
15902	TwoHandWeapon	猎犬	Hound	HemondBindel_TwoHandSword	17	1
15903	TwoHandWeapon	错误的审判	Twisted Verdict	Awaken_Caliburn_TwoHandSword	17	1
16001	TwoHandWeapon	灰烬裁决	Ashen Execution	Legendary_Tarandus_TwoHandedWarHamme	20	1
16003	TwoHandWeapon	血色钟鸣	Sanguine Knell	Legendary_Solid_Bringer_TwoHandedWarHamme	20	1
19994	AbyssGear	阿比斯气息	Breath of the Abyss	Abyss_InfiniteStat_Sp3	65535	2
19995	AbyssGear	阿比斯勇气	Spirit of the Abyss	Abyss_InfiniteStat_Mp2	65535	2
19996	AbyssGear	阿比斯活力	Vitality of the Abyss	Abyss_InfiniteStat_Hp30	65535	2
21018	Food	牛奶	Milk	Milk	65535	2
21019	Food	高级肉干	Fine Jerky	Jerky	65535	2
22006	Food	果酒	Wine	Fruit_Wine	65535	2
22007	Food	啤酒	Beer	Beer	65535	2
22008	Food	水	Water	Water	65535	2
22009	Misc	圣水	Holy Water	HolyWater	65535	2
25913	Misc	鸟肉汤料理	Bird Soup	SamGyeTang	65535	2
25914	Food	长角汤料理	Longhorn Soup	DeerAntler_Soup	65535	2
25921	Food	鹿茸茶	Antler Tea	DeerAntler_Fruit_Tea	65535	2
25922	Food	果汁	Fruit Juice	Berry_Juice	65535	2
26011	Food	珊瑚菇茶	Coral Mushroom Tea	Ssari_Mushroom_Tea	65535	2
26015	Food	松茸茶	Pine Mushroom Tea	Songyi_Mushroom_Tea	65535	2
26016	Food	香菇茶	Oakwood Mushroom Tea	Pyogo_Mushroom_Tea	65535	2
26034	Food	蜂蜜茶	Honey Tea	Honey_Tea	65535	2
27932	Food	盐烤鸟肉	Salt-Roasted Bird Meat	Roast_Chicken	65535	2
28080	Food	盐烤鱼	Salt-Roasted Fish	Roast_Fish	65535	2
28901	Misc	面包	Bread	Bread	65535	2
28917	Misc	松软的水果面包	Fruit Bread	Banana_Bread	65535	2
29501	Food	匙吻鲟	Paddlefish	Food_SpatulaSturgeon	65535	2
29502	Food	七星鲨鱼	Broadnose Sevengill Shark	Food_SevenStarShark	65535	2
29503	Food	巨型真鲷	Giant Red Seabream	Food_GiantRedSeaBream	65535	2
29504	Food	红色黑毛鱼	Crimson Opaleye	Food_RedSnapper	65535	2
29505	Food	巨型泥鳅	Giant Pond Loach	Food_GiantMudfish	65535	2
29506	Food	平鳍旗鱼	Sailfish	Food_Sailfish	65535	2
29507	Food	黄金丁鲷	Golden Tench	Food_GoldTenchi	65535	2
29508	Food	腔棘鱼	Coelacanth	Food_Coelacanth	65535	2
29509	Food	黄金鲤鱼	Golden Carp	Food_GoldCarp	65535	2
29511	Food	灯笼鱼	Anglerfish	Food_LightCrotch	65535	2
29513	Food	电鳗	Electric Eel	Food_LightningEel	65535	2
29601	Food	舌鳎	Red Tonguesole	Food_Dover_Sole	65535	2
29602	Food	真鲷	Red Seabream	Food_Red_Seabream	65535	2
29603	Food	三文鱼	Salmon	Food_Salmon	65535	2
29604	Food	达氏鲟	Sturgeon	Food_Sturgeon	65535	2
29605	Food	红三文鱼	Sockeye Salmon	Food_Sockeye_Salmon	65535	2
29606	Food	黑鲷	Blackhead Seabream	Food_BlackSeaBream	65535	2
29607	Food	黑毛鱼	Opaleye	Food_Red_Snapper	65535	2
29608	Food	石鲷	Barred Knifejaw	Food_Rock_Bream	65535	2
29609	Food	鲭鱼	Mackerel	Food_Mackerel	65535	2
29612	Food	枪鱼	Striped Marlin	Food_Marlin	65535	2
29613	Food	海马	Seahorse	Food_Seahorse	65535	2
29615	Food	海星	Starfish	Food_Starfish	65535	2
29616	Food	鱿鱼	Squid	Food_Squid	65535	2
29617	Food	石斑鱼	Saw-Edged Perch	Food_Cuvier	65535	2
29801	Food	小黑眉鱼	Small Blackbrow Bleak	Food_Blackbrow_Bleak	65535	2
29802	Food	小腹斑鱼	Small Minnow	Food_BaliOgluChub	65535	2
29803	Food	小施鱼	Small Spirlin	Food_Schneider	65535	2
29804	Food	鳃尾	Small Gudgeon	Food_Sammy	65535	2
29805	Food	小白鱼	Small Rasbora	Food_Beyaz	65535	2
29806	Food	白斑狗鱼	Northern Pike	Food_Pikefish	65535	2
29807	Food	鳟鱼	Trout	Food_Trout	65535	2
29808	Food	鲤鱼	Carp	Food_Carp	65535	2
29809	Food	丁鲷	Tench	Food_Tenchi	65535	2
29810	Food	泥鳅	Pond Loach	Food_Mudfish	65535	2
29811	Food	鲶鱼	Catfish	Food_Catfish	65535	2
29812	Food	细鳞鱼	Lenok	Food_Lenok	65535	2
29813	Food	江鳕	Burbot	Food_Burbot	65535	2
29814	Food	鳗鱼	Freshwater Eel	Food_Eel	65535	2
29815	Food	河鲈	Perch	Food_Perch	65535	2
29816	Food	鲈鱼	Bass	Food_Bass_I	65535	2
29817	Food	黄鲈鱼	Yellow Bass	Food_Bass_II	65535	2
29818	Food	斑鳜	Leopard Perch	Food_Ssogari	65535	2
29819	Food	鲫鱼	Crucian Carp	Food_Crucian_Carp	65535	2
29820	Food	机械鱼	Clockwork Fish	Food_MechanicFish	65535	2
29821	Food	小龙虾	Crayfish	Food_Crayfish	65535	2
30010	Material	火药	Gunpowder	Gun_Powder	65535	2
30016	Food	德雷西亚果酒	Delesyian Wine	High_Wine	65535	2
30022	Misc	润滑油	Lubricant	Specialty_Oil	65535	2
30041	Misc	钥匙	Key	Home_Key	65535	2
30051	Misc	烽火台大门钥匙	Beacon Key	Tower_Key	65535	2
30059	Misc	铁门钥匙	Iron Gate Key	Metal_Gate_Key	65535	2
30064	Misc	监狱钥匙	Prison Key	Prison_Key	65535	2
50001	Ammo	箭矢	Arrow	Arrow	65535	2
50003	Ammo	毒箭	Poison Arrow	Poison_Arrow	65535	2
50011	Ammo	鸣镝	Whistling Arrow	Hyosi_Arrow	65535	2
50057	Ammo	箭束	Bundle of Arrows	MultiArrow	65535	2
52006	Misc	哥布林陶罐	Goldleaf Censer	Goblin_Pot	65535	2
52007	Misc	油桶	Oil Barrel	Oil_Barrel	65535	2
52011	TwoHandWeapon	双挂式旗帜	Double-Sided Banner Pike	Common_Flag_I	23	1
52012	TwoHandWeapon	小型旗帜	Small Banner Pike	Common_Flag_II	23	1
52020	TwoHandWeapon	德梅尼斯小型旗帜	Small Demenissian Banner Pike	Demeniss_Flag_II	23	1
52021	TwoHandWeapon	德雷西亚小型旗帜	Small Delesyian Banner Pike	Dellesian_Flag_I	23	1
52023	TwoHandWeapon	醉酒黑熊小型旗帜	Small Black Bears Banner Pike	Blackbear_Flag_I	23	1
52025	TwoHandWeapon	吟唱黄昏小型旗帜	Small Dusksongs Banner Pike	fort_Flag_I	23	1
52026	TwoHandWeapon	无脸之人的小型旗帜	Small Faceless Banner Pike	fort_Flag_II	23	1
52029	TwoHandWeapon	威尔斯小型旗帜	Small Wells Banner Pike	Wells_Flag_I	23	1
52031	TwoHandWeapon	钢铁箭头小型旗帜	Small Blinding Arrows Banner Pike	Arrow_Flag_I	23	1
52033	TwoHandWeapon	地狱猎犬小型旗帜	Small Hellhounds Banner Pike	Hound_Flag_I	23	1
53001	Misc	苹果树种子	Apple Seed	AppleTree_Seed	65535	2
53016	Misc	嘟嘟鸟制作方法	Kuku Pot	Item_Kuku_Pot	65535	2
53032	Misc	黏弹	Sticky Bomb	BattleStickyBomb	65535	2
53034	Misc	定时炸弹	Time Bomb	TimeBomb	65535	2
70010	Misc	古老的木雕玩偶	Old Wooden Doll	Old_Wood_Doll_II	65535	2
75000	AbyssGear	初始神器	The First Artifact	First_Artifact	65535	2
75001	AbyssGear	阿比斯神器	Abyss Artifact	Abyss_Artifact	65535	2
75002	AbyssGear	褪色的阿比斯神器	Faded Abyss Artifact	Deactived_Abyss_Artifact	65535	2
75100	Quest	灰鬃的信物	Greymane's Token	Quest_GrayBrotherMark	65535	2
80001	Recipe	烹饪：红烧肉	Recipe: Boiled Meat	Recipe_BoiledPork	65535	2
80003	Recipe	烹饪：水果茶	Recipe: Fruit Tea	Recipe_FruitTea	65535	2
80406	Recipe	烹饪：鸟肉汤料理	Recipe: Bird Soup	Recipe_SamGyeTang	65535	2
80412	Recipe	烹饪：鹿茸茶	Recipe: Antler Tea	Recipe_DeerAntler_Fruit_Tea	65535	2
80413	Recipe	烹饪：果汁	Recipe: Fruit Juice	Recipe_Berry_Juice	65535	2
80505	Recipe	烹饪：珊瑚菇茶	Recipe: Coral Mushroom Tea	Recipe_Ssari_Mushroom_Tea	65535	2
80509	Recipe	烹饪：松茸茶	Recipe: Pine Mushroom Tea	Recipe_Songyi_Mushroom_Tea	65535	2
80510	Recipe	烹饪：香菇茶	Recipe: Oakwood Mushroom Tea	Recipe_Pyogo_Mushroom_Tea	65535	2
80529	Recipe	烹饪：蜂蜜茶	Recipe: Honey Tea	Recipe_Honey_Tea	65535	2
80812	Recipe	烹饪：盐烤鸟肉	Recipe: Salt-Roasted Bird Meat	Recipe_Roast_Chicken	65535	2
101001	Helmet	莱基亚板金头盔	Rekhia Plate Helm	Lekia_PlateArmor_Helm	4	1
101002	Helmet	博尔顿板金头盔	Bolton Plate Helm	Keredig_PlateArmor_Helm	4	1
101003	Helmet	卡修斯·莫顿板金头盔	Cassius Morten's Plate Helm	Dragon_Slayer_Ohyoon_PlateArmor_Helm	4	1
101008	Helmet	冰霜之翼板金头盔	Icewing Plate Helm	Entura_PlateArmor_Helm	4	1
101009	Helmet	亚特鲁的意志头盔	Ator's Will Helm	Makutan_PlateArmor_Helm	4	1
101011	Helmet	法尔蒙板金头盔	Ferman Plate Helm	Pycian_PlateArmor_Helm	4	1
101012	Helmet	凯雷德格板金头盔	Keredeg Plate Helm	Bolton_PlateArmor_Helm	4	1
101013	Helmet	弗利尼尔板金头盔	Ferenna Plate Helm	Frinyl_PlateArmor_Helm	4	1
101014	Helmet	格莱斯板金头盔	Grace Plate Helm	Grace_PlateArmor_Helm	4	1
101015	Helmet	弗林板金头盔	Flynn Plate Helm	Flynn_PlateArmor_Helm	4	1
101016	Helmet	克鲁迪尔板金头盔	Crudil Plate Helm	Crudil_PlateArmor_Helm	4	1
101018	Helmet	贝林板金头盔	Berin Plate Helm	Berin_PlateArmor_Helm	4	1
101027	Helmet	野兽人骨雕头盔	Beastman Bone Helmet	Beastman_PlateArmor_Helm	4	1
101031	Helmet	罗德雷姆板金头盔	Rodderham Plate Helm	Roderem_PlateArmor_Helm	4	1
101034	Helmet	塔奥斯板金头盔	Taos Plate Helm	Taos_PlateArmor_Helm	4	1
101046	Helmet	塔兰都斯板金头盔	Tarandus Plate Helm	Tarandus_PlateArmor_Helm	4	1
101048	Helmet	火枪要塞国境守备队制式头盔	Musket Border Guard Standard Helm	ReiGhis_PlateArmor_Helm	4	1
101049	Helmet	罗塔斯板金头盔	Lotas Plate Helm	Lotas_PlateArmor_Helm	4	1
101053	Helmet	黑熊皮制头盔	Black Bears' Leather Helm	Beoneck_Leather_Helm	4	1
101054	Helmet	切尔西亚板金头盔	Chelcia Plate Helm	Checia_PlateArmor_Helm	4	1
101056	Helmet	焦灼火焰板金头盔	Scorchflame Plate Helm	Londel_PlateArmor_Helm	4	1
101057	Helmet	伊尼尔板金头盔	Inyr Plate Helm	Inyr_PlateArmor_Helm	4	1
101058	Helmet	卢科内克板金头盔	Rueconec Plate Helm	Luconek_PlateArmor_Helm	4	1
101059	Helmet	卡利奥板金头盔	Calio Plate Helm	Calio_PlateArmor_Helm	4	1
101062	Helmet	艾斯福德板金头盔	Ashford Plate Helm	Aspherd_PlateArmor_Helm	4	1
101068	Helmet	利费伦板金头盔	Lyfellen Plate Helm	Lyfellen_PlateArmor_Helm	4	1
101073	Helmet	基亚图斯板金头盔	Kiatus Plate Helm	Kiahtuth_PlateArmor_Helm	4	1
101077	Helmet	莱比板金头盔	Rahbae Plate Helm	Rybee_PlateArmor_Helm	4	1
101078	Helmet	黄金树枝板金王冠	Goldbranch Plate Crown	Endour_PlateArmor_Helm	4	1
101090	Helmet	布杜尔板金头盔	Bedure Plate Helm	Madacus_PlateArmor_Helm	4	1
101097	Helmet	拉埃本板金头盔	Laehbern Plate Helm	Laehbern_PlateArmor_Helm	4	1
